Geography,Year,Category,Industry Space Use,Value
Parkville,2022,Jobs by industry,Public administration and safety,110
Parkville,2022,Jobs by industry,Retail trade,57
Parkville,2022,Jobs by industry,Wholesale trade,44
Port Melbourne,2022,Jobs by industry,Arts and recreation services,100
Port Melbourne,2022,Jobs by industry,Education and training,144
Port Melbourne,2022,Jobs by industry,Public administration and safety,1042
Port Melbourne,2022,Jobs by industry,Real estate services,52
Port Melbourne,2022,Jobs by industry,Rental and hiring services,174
Port Melbourne,2022,Jobs by industry,Wholesale trade,1358
South Yarra,2022,Jobs by industry,Admin and support services,3
South Yarra,2022,Jobs by industry,Arts and recreation services,24
South Yarra,2022,Jobs by industry,Business services,0
South Yarra,2022,Jobs by industry,Finance and insurance,0
South Yarra,2022,Jobs by industry,Food and beverage services,169
South Yarra,2022,Jobs by industry,Real estate services,0
Southbank,2022,Jobs by industry,Construction,1037
Southbank,2022,Jobs by industry,Education and training,1223
Southbank,2022,Jobs by industry,Health care and social assistance,662
Southbank,2022,Jobs by industry,Other services,594
Southbank,2022,Jobs by industry,"Transport, postal and storage",862
West Melbourne (Industrial),2022,Jobs by industry,Agriculture and mining,0
West Melbourne (Industrial),2022,Jobs by industry,Business services,158
West Melbourne (Industrial),2022,Jobs by industry,"Electricity, gas, water and waste services",61
West Melbourne (Industrial),2022,Jobs by industry,Information media and telecommunications,0
West Melbourne (Industrial),2022,Jobs by industry,Wholesale trade,656
West Melbourne (Residential),2022,Jobs by industry,Agriculture and mining,0
West Melbourne (Residential),2022,Jobs by industry,Education and training,372
West Melbourne (Residential),2022,Jobs by industry,"Electricity, gas, water and waste services",0
West Melbourne (Residential),2022,Jobs by industry,Food and beverage services,323
West Melbourne (Residential),2022,Jobs by industry,Information media and telecommunications,137
West Melbourne (Residential),2022,Jobs by industry,Retail trade,175
Carlton,2022,Jobs by space use,Entertainment - Other,584
Carlton,2022,Jobs by space use,Retail,1149
Docklands,2022,Jobs by space use,Health,115
East Melbourne,2022,Jobs by space use,Education,229
East Melbourne,2022,Jobs by space use,Entertainment - Hospitality,2834
