Geography,Year,Gender,Age,Value
Parkville,2023,Total,Age 20-24,1777
Parkville,2023,Total,Age 25-29,1261
Parkville,2023,Total,Age 30-34,902
Parkville,2023,Total,Age 40-44,265
Parkville,2023,Total,Age 60-64,216
Parkville,2023,Total,Age 80-84,81
Parkville,2023,Total,Age 85+,82
Port Melbourne,2023,Total,Age 0-4,0
Port Melbourne,2023,Total,Age 15-19,1
Port Melbourne,2023,Total,Age 60-64,0
Port Melbourne,2023,Total,Age 65-69,0
South Yarra,2023,Total,Age 5-9,99
South Yarra,2023,Total,Age 10-14,52
South Yarra,2023,Total,Age 20-24,211
South Yarra,2023,Total,Age 25-29,560
South Yarra,2023,Total,Age 40-44,224
South Yarra,2023,Total,Age 65-69,228
Southbank,2023,Total,Age 5-9,241
Southbank,2023,Total,Age 30-34,4506
Southbank,2023,Total,Age 50-54,795
Southbank,2023,Total,Age 80-84,73
West Melbourne (Industrial),2023,Total,Age 10-14,0
West Melbourne (Industrial),2023,Total,Age 30-34,0
West Melbourne (Industrial),2023,Total,Age 45-49,0
West Melbourne (Industrial),2023,Total,Age 55-59,0
West Melbourne (Residential),2023,Total,Age 5-9,154
West Melbourne (Residential),2023,Total,Age 30-34,1617
West Melbourne (Residential),2023,Total,Age 35-39,868
West Melbourne (Residential),2023,Total,Age 40-44,522
City of Melbourne,2023,Female,Average age,33
Docklands,2023,Male,Average age,35
North Melbourne,2023,Male,Average age,33
Parkville,2023,Total,Average age,32
Port Melbourne,2023,Female,Average age,38
South Yarra,2023,Total,Average age,41
Southbank,2023,Total,Average age,34
West Melbourne (Residential),2023,Male,Average age,31
West Melbourne (Residential),2023,Total,Average age,31
Carlton,2023,Not applicable,Total population,17840
City of Melbourne,2023,Male,Age 10-14,1055
City of Melbourne,2023,Male,Age 15-19,3087
City of Melbourne,2023,Female,Age 20-24,15833
City of Melbourne,2023,Female,Age 30-34,12112
City of Melbourne,2023,Male,Age 30-34,12307
City of Melbourne,2023,Male,Age 35-39,7954
City of Melbourne,2023,Male,Age 55-59,2424
City of Melbourne,2023,Male,Age 60-64,2151
City of Melbourne,2023,Female,Age 65-69,1969
City of Melbourne,2023,Male,Age 65-69,1880
City of Melbourne,2023,Male,Age 70-74,1741
City of Melbourne,2023,Female,Age 80-84,359
City of Melbourne,2023,Female,Age 85+,340
Carlton,2023,Male,Age 5-9,174
Carlton,2023,Male,Age 15-19,575
Carlton,2023,Male,Age 30-34,1043
Carlton,2023,Male,Age 35-39,641
Carlton,2023,Female,Age 40-44,301
Carlton,2023,Male,Age 50-54,234
Carlton,2023,Male,Age 55-59,183
Carlton,2023,Male,Age 60-64,150
Carlton,2023,Male,Age 80-84,25
Carlton,2023,Female,Age 85+,24
Carlton,2023,Male,Age 85+,16
Docklands,2023,Female,Age 0-4,394
Docklands,2023,Male,Age 0-4,458
Docklands,2023,Female,Age 15-19,189
Docklands,2023,Female,Age 30-34,1263
Docklands,2023,Male,Age 30-34,1382
Docklands,2023,Female,Age 35-39,820
Docklands,2023,Male,Age 35-39,980
Docklands,2023,Male,Age 40-44,602
Docklands,2023,Male,Age 45-49,386
Docklands,2023,Female,Age 60-64,247
Docklands,2023,Male,Age 60-64,370
Docklands,2023,Female,Age 65-69,298
Docklands,2023,Female,Age 70-74,104
Docklands,2023,Male,Age 75-79,29
Docklands,2023,Female,Age 80-84,6
Docklands,2023,Male,Age 80-84,8
Docklands,2023,Female,Age 85+,17
Docklands,2023,Male,Age 85+,13
East Melbourne,2023,Female,Age 5-9,23
East Melbourne,2023,Male,Age 5-9,19
East Melbourne,2023,Female,Age 15-19,23
East Melbourne,2023,Male,Age 15-19,16
East Melbourne,2023,Male,Age 20-24,168
East Melbourne,2023,Female,Age 25-29,463
East Melbourne,2023,Female,Age 30-34,432
East Melbourne,2023,Male,Age 30-34,333
East Melbourne,2023,Male,Age 60-64,129
East Melbourne,2023,Female,Age 75-79,40
East Melbourne,2023,Female,Age 85+,30
Kensington,2023,Female,Age 0-4,348
Kensington,2023,Female,Age 10-14,145
Kensington,2023,Male,Age 10-14,239
Kensington,2023,Male,Age 15-19,105
Kensington,2023,Male,Age 20-24,335
Kensington,2023,Male,Age 25-29,740
Kensington,2023,Female,Age 35-39,702
Kensington,2023,Male,Age 35-39,715
Kensington,2023,Female,Age 40-44,540
Kensington,2023,Female,Age 45-49,344
Kensington,2023,Male,Age 50-54,181
Kensington,2023,Male,Age 60-64,219
Kensington,2023,Female,Age 65-69,192
Kensington,2023,Male,Age 75-79,75
Melbourne (CBD),2023,Female,Age 0-4,465
Melbourne (CBD),2023,Female,Age 5-9,172
Melbourne (CBD),2023,Male,Age 10-14,109
Melbourne (CBD),2023,Female,Age 15-19,1275
Melbourne (CBD),2023,Male,Age 20-24,5897
Melbourne (CBD),2023,Male,Age 30-34,3593
Melbourne (CBD),2023,Female,Age 45-49,707
Melbourne (CBD),2023,Male,Age 55-59,445
Melbourne (CBD),2023,Male,Age 60-64,379
Melbourne (CBD),2023,Female,Age 70-74,236
Melbourne (CBD),2023,Male,Age 70-74,253
Melbourne (Remainder),2023,Female,Age 0-4,46
Melbourne (Remainder),2023,Female,Age 5-9,21
Melbourne (Remainder),2023,Female,Age 20-24,98
Melbourne (Remainder),2023,Male,Age 20-24,97
Melbourne (Remainder),2023,Male,Age 25-29,175
